,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,calcium_mg,iron_mg,energy_kj,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,Haleem,156,23.20,10.20,2.00,0.00,1.00,31.00,1.20,652.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.60,0.00
,Kofta (Meat balls),152,14.50,13.50,4.00,0.00,0.00,1.10,1.00,636.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00
,Chapli Kabab,134,12.80,5.00,6.50,0.00,1.50,0.30,1.50,560.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
,Sajji (Roasted Meat),157,1.50,17.20,6.60,0.00,0.00,15.00,1.80,656.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Chicken Biryani ,197,23.80,9.10,6.70,0.00,0.80,52.00,0.90,825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00
,Zarda (Sweet Rice),246,46.50,4.50,4.00,0.00,0.50,0.40,0.50,1029.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00
,Both Masoer Curry,96.00,12.60,5.20,2.50,0.00,1.00,0.80,1.10,401.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
,Chapati/Roti,282,54.70,9.70,1.60,1.00,2.50,31.00,3.30,844.75,1737.22,796.67,538.89,6.83,175.00,69.44,1.16,172.78,0.27,29.51,0.00,1.66,0.02,1.58,25.61,0.30,7.46,0.00,0.83,0.00,16.23,0.23,0.08,1.32,0.48,0.14,0.42,16.23,0.20,209.53
,Kidney bean curry (Rajmah curry),162,24.30,11.70,1.50,2.49,2.50,1.00,0.80,677.60,724.31,1085.92,3529.48,0.00,123.00,58.61,354.60,485.90,0.26,5.73,0.01,0.58,0.10,0.87,0.00,2.65,12.04,0.00,18.31,0.00,93.63,0.11,0.07,0.98,0.63,0.13,1.32,93.63,2.10,2790.14
,Plain pulao,179,18.90,11.00,6.00,1.15,1.10,1.00,0.30,749.20,585.27,946.98,2865.54,0.00,42.93,12.30,193.76,74.74,0.09,0.40,0.00,0.47,0.03,0.37,0.00,2.20,0.28,0.00,2.01,0.00,7.35,0.05,0.02,0.72,0.19,0.07,0.52,7.35,0.00,35.37
