Rank,Dish Name,Frequency (Votes),Consensus (Popularity %)
1,nihari,45,39.82%
2,biryani,42,37.17%
3,chicken karahi,31,27.43%
4,haleem,29,25.66%
5,gulab jamun,27,23.89%
6,chapli kebab,27,23.89%
7,seekh kabab,27,23.89%
8,sindhi biryani,26,23.01%
9,kheer,25,22.12%
10,mutton karahi,18,15.93%
11,chicken biryani,18,15.93%
12,sajji,18,15.93%
13,chicken tikka,17,15.04%
14,samosas,16,14.16%
15,halwa puri,16,14.16%
16,pakoras,16,14.16%
17,pulao,14,12.39%
18,jalebi,14,12.39%
19,paratha,13,11.50%
20,sarson ka saag,13,11.50%
21,zarda,12,10.62%
22,chaat,12,10.62%
23,karahi,12,10.62%
24,gajar ka halwa,12,10.62%
25,aloo gosht,11,9.73%
26,kebabs,11,9.73%
27,ras malai,11,9.73%
28,gol gappay,11,9.73%
29,dahi baray,11,9.73%
30,shami kabab,11,9.73%
31,paaye,10,8.85%
32,dahi bhalla,10,8.85%
33,saag,9,7.96%
34,kulfi,9,7.96%
35,chicken malai boti,9,7.96%
36,chicken salan,9,7.96%
37,aloo gobi,8,7.08%
38,chicken pulao,8,7.08%
39,korma,8,7.08%
40,bhindi masala,8,7.08%
41,paya,8,7.08%
42,falooda,8,7.08%
43,naan,8,7.08%
44,chicken pakora,8,7.08%
45,chicken broast,8,7.08%
46,mutton biryani,7,6.19%
47,malai boti,7,6.19%
48,fried fish,7,6.19%
49,mutton pulao,7,6.19%
50,sohan halwa,7,6.19%
