Rank,Dish Name,Frequency (Votes),Consensus (Popularity %)
1,nihari,45,39.82%
2,biryani,41,36.28%
3,chicken karahi,30,26.55%
4,haleem,29,25.66%
5,sindhi biryani,26,23.01%
6,kheer,25,22.12%
7,gulab jamun,22,19.47%
8,mutton karahi,18,15.93%
9,chicken biryani,17,15.04%
10,sajji,17,15.04%
11,chicken tikka,15,13.27%
12,pulao,14,12.39%
13,chapli kebab,13,11.50%
14,jalebi,13,11.50%
15,zarda,12,10.62%
16,chaat,12,10.62%
17,seekh kabab,11,9.73%
18,chapli kabab,11,9.73%
19,samosas,11,9.73%
20,karahi,11,9.73%
21,halwa puri,10,8.85%
22,aloo gosht,10,8.85%
23,seekh kebab,9,7.96%
24,paratha,9,7.96%
25,saag,9,7.96%
26,gajar ka halwa,9,7.96%
27,kulfi,9,7.96%
28,aloo gobi,8,7.08%
29,chicken pulao,8,7.08%
30,kebabs,8,7.08%
31,korma,8,7.08%
32,bhindi masala,8,7.08%
33,paya,8,7.08%
34,falooda,8,7.08%
35,pakoras,8,7.08%
36,naan,8,7.08%
37,ras malai,8,7.08%
38,gol gappay,7,6.19%
39,sarson ka saag,7,6.19%
40,mutton biryani,7,6.19%
41,malai boti,7,6.19%
42,fried fish,7,6.19%
43,mutton pulao,7,6.19%
44,sohan halwa,7,6.19%
45,daal chawal,6,5.31%
46,seekh kebabs,6,5.31%
47,barfi,6,5.31%
48,chargha,6,5.31%
49,raita,6,5.31%
50,dahi baray,6,5.31%
